[INFO   ] 2023-05-05 10:55:44,369 Logger: Record log in ./config/.kivy\logs\kivy_23-05-05_2.txt
[INFO   ] 2023-05-05 10:55:44,404 GL: NPOT texture support is available
[INFO   ] 2023-05-05 10:55:44,439 [guigenerator.py] Aggiunta sezione text InputType
[INFO   ] 2023-05-05 10:55:44,439 [guigenerator.py] Aggiunti elementi excludedWords con successo
[INFO   ] 2023-05-05 10:55:44,439 [guigenerator.py] Aggiunti elementi importantWords con successo
[INFO   ] 2023-05-05 10:55:44,439 [guigenerator.py] Aggiunti elementi fontFamily con successo
[INFO   ] 2023-05-05 10:55:44,440 [guigenerator.py] Aggiunti elementi download con successo
[INFO   ] 2023-05-05 10:55:44,440 [guigenerator.py] Aggiunta sezione image con successo
[INFO   ] 2023-05-05 10:55:44,442 [guigenerator.py] Aggiunta sezione image options con successo
[INFO   ] 2023-05-05 10:55:44,442 [guigenerator.py] Aggiunti elementi border con successo
[INFO   ] 2023-05-05 10:55:44,472 [guigenerator.py] Aggiunto elemento color picker con successo
[INFO   ] 2023-05-05 10:55:44,473 Base: Start application main loop
[WARNING] 2023-05-05 10:55:50,250 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:50,352 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:50,467 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:50,652 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:50,888 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:51,042 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:51,178 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:51,334 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:51,447 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:51,583 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:51,737 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:51,885 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:52,040 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:52,179 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:52,341 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:52,482 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:52,654 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:52,777 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:52,945 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:53,083 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:53,248 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:53,375 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:53,547 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:53,698 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:53,859 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:53,977 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:54,139 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:54,298 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:54,450 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:54,757 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:54,896 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:55,056 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:55,193 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:55,344 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:55,504 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:55,654 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:55,856 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:55,961 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:56,103 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[WARNING] 2023-05-05 10:55:57,643 [imageselector.py] nessuana path valida, usata quella di default: ./pictures/default.png
[INFO   ] 2023-05-05 10:55:59,057 [imagepartselector.py] letta immagine da elaborare: ./pictures/imageMod.png
[WARNING] 2023-05-05 10:55:59,061 [imagepartselector.py] posizione non valida:(1030, -207)
[INFO   ] 2023-05-05 10:55:59,240 Base: Leaving application in progress...
